Word 1,Word 2,Human (Mean),scaled_human,svd_cosine,cbow_cosine,skipgram_cosine
admission,ticket,5.536,0.107,,0.357,0.19
alcohol,chemistry,4.125,-0.175,,0.46,0.317
aluminum,metal,6.625,0.325,,0.721,0.562
announcement,effort,2.0625,-0.588,0.059,0.39,0.19
announcement,news,7.1875,0.438,0.412,0.814,0.422
announcement,production,1.6875,-0.662,0.199,0.49,0.155
announcement,warning,4.625,-0.075,0.015,0.652,0.334
Arafat,Jackson,1.0,-0.8,,,
Arafat,peace,2.125,-0.575,,,
Arafat,terror,3.0625,-0.387,,,
architecture,century,1.929,-0.614,,0.182,0.096
arrangement,accommodation,5.125,0.025,,,
arrival,hotel,2.1875,-0.562,0.366,0.544,0.312
asylum,madhouse,8.0625,0.613,,,
atmosphere,landscape,3.5625,-0.287,0.327,0.776,0.403
attempt,peace,0.9375,-0.812,0.038,0.312,0.253
baby,mother,5.25,0.05,0.239,0.751,0.454
bank,money,6.625,0.325,0.058,0.187,0.117
baseball,season,3.2565,-0.349,0.371,0.299,0.274
bed,closet,2.25,-0.55,,0.79,0.482
benchmark,index,5.5,0.1,,,
bird,cock,5.875,0.175,,0.462,0.325
bird,crane,4.8125,-0.037,,0.388,0.379
bishop,rabbi,5.375,0.075,,0.646,0.256
board,recommendation,1.25,-0.75,0.692,0.474,0.292
book,library,5.3125,0.062,0.108,0.514,0.16
book,paper,5.875,0.175,0.491,0.523,0.289
boxing,round,4.1875,-0.162,,,
boy,lad,7.844,0.569,,0.582,0.29
bread,butter,4.1875,-0.162,0.577,0.75,0.571
brother,monk,4.25,-0.15,,0.603,0.271
calculation,computation,8.0565,0.611,,0.463,0.199
canyon,landscape,5.25,0.05,,0.641,0.267
car,automobile,9.369,0.874,0.058,0.389,0.316
car,flight,2.4375,-0.512,0.417,0.609,0.199
cell,phone,6.25,0.25,0.132,0.149,0.107
cemetery,woodland,2.3125,-0.537,,,
century,nation,2.1875,-0.562,0.513,0.507,0.372
century,year,4.0,-0.2,0.346,0.677,0.384
championship,tournament,7.5,0.5,,0.628,0.392
chance,credibility,2.163,-0.567,,,
change,attitude,3.375,-0.325,0.328,0.642,0.2
chord,smile,0.8125,-0.838,,0.581,0.347
closet,clothes,4.625,-0.075,,0.598,0.297
coast,forest,2.125,-0.575,0.045,0.647,0.392
coast,hill,2.3125,-0.537,0.712,0.781,0.457
coast,shore,8.2755,0.655,0.609,0.675,0.548
company,stock,3.75,-0.25,0.466,0.668,0.268
competition,price,3.0,-0.4,0.249,0.645,0.361
computer,internet,6.125,0.225,,,
computer,keyboard,5.9375,0.188,,,
computer,laboratory,3.375,-0.325,,0.463,0.208
computer,news,1.6875,-0.662,,0.502,0.025
computer,software,6.1875,0.238,,,
concert,virtuoso,3.6875,-0.262,,,
consumer,confidence,1.6875,-0.662,-0.024,0.357,0.069
consumer,energy,2.75,-0.45,0.222,0.549,0.258
country,citizen,4.3125,-0.137,0.346,0.6,0.16
crane,implement,2.125,-0.575,,,
credit,card,4.5625,-0.088,-0.123,0.358,0.317
credit,information,3.644,-0.271,0.336,0.618,0.375
cucumber,potato,4.0625,-0.188,,,
cup,article,1.3125,-0.738,0.099,0.508,0.317
cup,artifact,2.5,-0.5,,,
cup,coffee,5.0625,0.012,0.467,0.545,0.519
cup,drink,4.75,-0.05,0.494,0.601,0.425
cup,entity,1.375,-0.725,,0.497,0.183
cup,food,1.875,-0.625,0.222,0.224,0.224
cup,liquid,3.75,-0.25,0.258,0.487,0.251
cup,object,4.25,-0.15,0.031,0.299,0.038
cup,substance,1.9375,-0.613,0.144,0.329,0.229
cup,tableware,6.0,0.2,,,
currency,market,4.3125,-0.137,,0.555,0.283
day,dawn,4.625,-0.075,0.107,0.575,0.346
day,summer,3.125,-0.375,0.455,0.766,0.403
death,inmate,1.944,-0.611,,,
death,row,1.6875,-0.662,0.132,0.463,0.164
decoration,valor,3.25,-0.35,,,
delay,news,1.4375,-0.713,0.279,0.546,0.221
delay,racism,0.875,-0.825,,,
deployment,departure,5.5,0.1,,,
deployment,withdrawal,3.5,-0.3,,,
development,issue,3.3125,-0.338,0.296,0.597,0.279
direction,combination,2.0625,-0.588,-0.054,0.695,0.336
disability,death,2.3125,-0.537,,0.303,0.042
disaster,area,1.625,-0.675,0.321,0.501,0.18
discovery,space,3.9375,-0.213,0.017,0.218,-0.013
dividend,calculation,5.1875,0.038,,0.531,0.162
dividend,payment,5.5,0.1,,0.575,0.323
doctor,liability,2.5,-0.5,,0.157,0.254
doctor,nurse,6.125,0.225,,0.341,0.332
doctor,personnel,3.5625,-0.287,0.138,0.118,0.237
dollar,buck,8.5625,0.712,-0.053,0.268,0.163
dollar,loss,2.1875,-0.562,0.293,0.504,0.177
dollar,profit,5.375,0.075,0.211,0.426,0.279
dollar,yen,6.3125,0.262,,,
drink,car,0.3125,-0.938,0.444,0.532,0.297
drink,ear,0.375,-0.925,0.359,0.746,0.446
drink,eat,4.125,-0.175,0.071,0.538,0.382
drink,mother,0.5625,-0.887,0.131,0.684,0.355
drink,mouth,4.7375,-0.052,0.148,0.607,0.327
drug,abuse,4.9375,-0.012,,0.431,0.132
energy,crisis,3.0505,-0.39,-0.036,0.653,0.255
energy,laboratory,2.7565,-0.449,0.16,0.659,0.21
energy,secretary,1.0625,-0.787,0.459,0.438,0.267
environment,ecology,7.1875,0.438,,,
equipment,maker,2.5625,-0.488,,0.313,0.081
exhibit,memorabilia,4.625,-0.075,,,
experience,music,2.3125,-0.537,0.061,0.59,0.353
family,planning,1.75,-0.65,0.289,0.442,0.218
FBI,fingerprint,4.0625,-0.188,,0.403,0.242
FBI,investigation,5.0625,0.012,,0.276,0.268
fertility,egg,5.1875,0.038,,0.278,0.003
fighting,defeating,5.5,0.1,,,
five,month,1.069,-0.786,0.236,0.481,0.297
focus,life,2.3125,-0.537,0.299,0.681,0.295
food,fruit,7.0625,0.413,0.161,0.424,0.18
food,preparation,3.75,-0.25,0.627,0.778,0.428
food,rooster,2.5625,-0.488,,,
football,basketball,4.125,-0.175,,0.502,0.454
football,soccer,8.5625,0.712,,,
football,tennis,3.6875,-0.262,,0.76,0.527
forest,graveyard,1.394,-0.721,,0.566,0.264
fuck,sex,8.25,0.65,,,
furnace,stove,8.0625,0.613,,0.74,0.278
game,defeat,3.6875,-0.262,0.077,0.422,0.288
game,round,5.1875,0.038,0.495,0.702,0.335
game,series,4.5625,-0.088,0.637,0.635,0.434
game,team,4.625,-0.075,0.445,0.659,0.352
game,victory,4.6875,-0.062,0.438,0.686,0.341
gem,jewel,8.375,0.675,,,
gender,equality,3.4375,-0.312,,,
glass,magician,1.0,-0.8,,,
glass,metal,2.1875,-0.562,0.524,0.8,0.558
government,crisis,3.625,-0.275,0.188,0.648,0.185
governor,interview,1.625,-0.675,0.163,0.499,0.081
governor,office,4.3125,-0.137,0.159,0.594,0.292
grocery,money,3.375,-0.325,,0.278,0.181
Harvard,Yale,4.875,-0.025,,0.701,0.506
holy,sex,1.069,-0.786,0.184,0.452,0.257
hospital,infrastructure,3.3125,-0.338,,,
hotel,reservation,5.0625,0.012,,0.548,0.208
hundred,percent,4.4375,-0.113,0.318,0.534,0.44
image,surface,1.8125,-0.637,0.209,0.456,0.351
impartiality,interest,1.875,-0.625,,,
investigation,effort,3.75,-0.25,0.242,0.566,0.293
investor,earning,5.0625,0.012,,,
jaguar,car,5.3125,0.062,,0.745,0.314
jaguar,cat,6.4375,0.288,,0.66,0.33
Japanese,American,3.125,-0.375,0.341,0.384,0.316
Jerusalem,Israel,6.4375,0.288,,0.487,0.198
Jerusalem,Palestinian,4.5,-0.1,,,
journal,association,2.625,-0.475,0.475,0.685,0.385
journey,car,4.0625,-0.188,0.052,0.784,0.277
journey,voyage,7.5,0.5,,0.707,0.335
king,cabbage,0.625,-0.875,,,
king,queen,5.6875,0.137,0.374,0.789,0.447
king,rook,3.125,-0.375,,,
lad,brother,4.9375,-0.012,,0.44,0.126
lad,wizard,1.6875,-0.662,,,
law,lawyer,6.1875,0.238,0.176,0.401,0.362
lawyer,evidence,3.9375,-0.213,-0.018,0.339,0.137
liability,insurance,4.375,-0.125,,0.616,0.481
life,death,4.375,-0.125,0.659,0.717,0.4
life,lesson,3.1875,-0.363,0.204,0.422,0.195
life,term,3.8125,-0.238,0.025,0.391,0.087
line,insurance,1.3125,-0.738,0.152,0.14,0.072
liquid,water,7.0625,0.413,0.43,0.593,0.408
listing,category,5.375,0.075,,0.578,0.239
listing,proximity,1.4375,-0.713,,0.489,0.151
lobster,food,5.75,0.15,,,
lobster,wine,2.375,-0.525,,,
love,sex,6.375,0.275,0.217,0.4,0.236
lover,quarrel,1.6875,-0.662,,0.442,0.077
luxury,car,3.3125,-0.338,0.286,0.609,0.209
magician,wizard,7.6875,0.538,,,
man,governor,4.25,-0.15,0.115,0.482,0.194
man,woman,4.5,-0.1,0.845,0.912,0.698
Maradona,football,5.375,0.075,,,
marathon,sprint,4.9375,-0.012,,,
Mars,scientist,4.375,-0.125,,0.113,0.062
Mars,water,1.5625,-0.688,0.303,0.463,0.246
media,gain,1.375,-0.725,,0.367,0.088
media,radio,6.4375,0.288,,0.635,0.285
media,trading,1.8125,-0.637,,0.684,0.196
Mexico,Brazil,3.9375,-0.213,,0.432,0.345
midday,noon,8.9375,0.788,,0.589,0.385
mile,kilometer,6.9375,0.387,,0.74,0.526
minister,party,3.0625,-0.387,0.515,0.634,0.319
ministry,culture,2.844,-0.431,,0.655,0.364
minority,peace,1.1875,-0.762,-0.114,0.212,0.06
money,bank,6.0,0.2,0.058,0.187,0.117
money,cash,8.875,0.775,0.486,0.671,0.335
money,cash,9.0315,0.806,0.486,0.671,0.335
money,currency,7.9375,0.587,,0.491,0.167
money,deposit,5.375,0.075,,0.188,0.026
money,dollar,7.6875,0.538,0.305,0.189,0.364
money,laundering,4.4565,-0.109,,0.412,0.084
money,operation,1.875,-0.625,0.39,0.535,0.202
money,possession,4.3125,-0.137,0.091,0.64,0.235
money,property,5.0625,0.012,0.213,0.642,0.48
money,wealth,7.0625,0.413,0.122,0.564,0.23
money,withdrawal,4.0625,-0.188,,0.512,0.056
monk,oracle,2.5625,-0.488,,,
monk,slave,2.5625,-0.488,,0.615,0.127
month,hotel,1.0625,-0.787,-0.024,0.552,0.231
morality,importance,2.5,-0.5,0.063,0.634,0.282
morality,marriage,2.375,-0.525,-0.062,0.606,0.14
movie,critic,3.1875,-0.363,0.19,0.478,0.222
movie,popcorn,3.875,-0.225,,,
movie,star,4.3125,-0.137,0.288,0.612,0.359
movie,theater,6.125,0.225,0.269,0.666,0.415
murder,manslaughter,7.5,0.5,,,
museum,theater,3.875,-0.225,0.51,0.737,0.531
music,project,3.1875,-0.363,0.19,0.568,0.272
nature,environment,6.9375,0.387,0.232,0.65,0.424
nature,man,2.9375,-0.412,0.166,0.313,0.197
network,hardware,3.8125,-0.238,,0.249,0.03
news,report,6.8125,0.363,0.384,0.709,0.445
noon,string,0.6875,-0.863,,0.48,0.258
observation,architecture,1.875,-0.625,,0.312,0.06
oil,stock,2.9375,-0.412,0.45,0.714,0.382
OPEC,country,3.6875,-0.262,,,
OPEC,oil,5.5625,0.113,,,
opera,industry,1.194,-0.761,-0.008,0.581,0.202
opera,performance,4.875,-0.025,0.006,0.357,0.093
peace,atmosphere,2.1875,-0.562,0.007,0.395,0.159
peace,insurance,1.7565,-0.649,0.358,0.532,0.231
peace,plan,1.5,-0.7,0.474,0.444,0.279
phone,equipment,4.0315,-0.194,0.028,0.2,0.055
physics,chemistry,5.0625,0.012,,0.736,0.486
physics,proton,6.125,0.225,,,
plane,car,3.5625,-0.287,0.526,0.759,0.414
planet,astronomer,5.4375,0.087,,,
planet,constellation,4.3125,-0.137,,,
planet,galaxy,6.125,0.225,,,
planet,moon,6.0,0.2,0.165,0.744,0.304
planet,people,3.375,-0.325,-0.069,0.441,0.282
planet,space,5.3125,0.062,0.048,0.406,0.125
planet,star,5.625,0.125,0.167,0.488,0.277
planet,sun,5.8125,0.163,0.006,0.563,0.322
population,development,3.4755,-0.305,0.599,0.812,0.391
possibility,girl,1.069,-0.786,0.284,0.434,0.205
practice,institution,3.5625,-0.287,-0.115,0.593,0.313
precedent,antecedent,4.0,-0.2,,,
precedent,cognition,2.0,-0.6,,,
precedent,collection,1.0625,-0.787,,0.506,0.214
precedent,example,5.4375,0.087,,0.491,0.277
precedent,group,1.5625,-0.688,,0.49,0.15
precedent,information,2.375,-0.525,,0.498,0.119
precedent,law,4.375,-0.125,,0.392,0.284
prejudice,recognition,3.3125,-0.338,,0.629,0.38
preservation,world,2.4375,-0.512,,0.42,0.09
president,medal,1.25,-0.75,,0.401,0.463
problem,airport,1.3125,-0.738,,0.365,0.198
problem,challenge,6.875,0.375,0.378,0.603,0.408
production,crew,3.1875,-0.363,0.226,0.475,0.256
production,hike,0.9375,-0.812,,,
professor,cucumber,0.3125,-0.938,,,
professor,doctor,6.125,0.225,0.125,0.626,0.321
profit,loss,3.875,-0.225,0.303,0.753,0.475
profit,warning,1.6875,-0.662,0.122,0.461,-0.161
psychology,anxiety,3.75,-0.25,,0.699,0.388
psychology,clinic,4.344,-0.131,,,
psychology,cognition,4.0,-0.2,,,
psychology,depression,5.25,0.05,,0.592,0.205
psychology,discipline,3.3125,-0.338,,0.682,0.374
psychology,doctor,5.294,0.059,,0.352,0.038
psychology,fear,3.1875,-0.363,,0.5,0.258
psychology,Freud,5.6875,0.137,,0.615,0.249
psychology,health,4.3625,-0.128,,0.586,0.334
psychology,mind,5.4375,0.087,,0.39,0.25
psychology,psychiatry,6.9375,0.387,,,
psychology,science,5.9505,0.19,,0.717,0.493
reason,criterion,4.625,-0.075,,0.34,0.158
reason,hypertension,0.875,-0.825,,,
record,number,3.5,-0.3,0.259,0.467,0.169
registration,arrangement,3.4375,-0.312,-0.063,0.355,0.119
report,gain,2.25,-0.55,0.319,0.484,0.275
rock,jazz,5.5,0.1,0.187,0.518,0.107
rooster,voyage,0.9375,-0.812,,,
school,center,3.875,-0.225,0.442,0.572,0.27
seafood,food,6.875,0.375,,,
seafood,lobster,6.9375,0.387,,,
seafood,sea,5.375,0.075,,,
secretary,senate,3.75,-0.25,0.495,0.56,0.392
seven,series,2.25,-0.55,0.115,0.461,0.209
shore,woodland,1.625,-0.675,,,
shower,flood,3.5625,-0.287,,0.687,0.151
shower,thunderstorm,4.0,-0.2,,,
sign,recess,1.5065,-0.699,,,
situation,conclusion,3.5625,-0.287,0.444,0.772,0.439
situation,isolation,1.9375,-0.613,,0.663,0.369
size,prominence,3.75,-0.25,,0.52,0.198
skin,eye,2.75,-0.45,0.1,0.733,0.267
smart,student,3.625,-0.275,0.067,0.112,0.114
smart,stupid,3.25,-0.35,0.073,0.724,0.38
soap,opera,3.5625,-0.287,0.062,0.447,0.21
space,chemistry,1.8875,-0.623,,0.585,0.258
space,world,4.9375,-0.012,0.332,0.463,0.24
start,match,2.5,-0.5,0.17,0.643,0.158
start,year,1.625,-0.675,0.202,0.367,0.22
stock,CD,2.4375,-0.512,,0.349,0.232
stock,egg,1.4375,-0.713,,0.486,0.184
stock,jaguar,0.9375,-0.812,,0.23,0.083
stock,life,1.8125,-0.637,0.359,0.373,0.025
stock,live,1.875,-0.625,-0.017,0.02,0.04
stock,market,4.875,-0.025,0.53,0.653,0.503
stock,phone,0.75,-0.85,0.188,0.356,0.142
street,avenue,7.6875,0.538,0.473,0.721,0.578
street,block,6.5625,0.312,0.474,0.579,0.487
street,children,1.294,-0.741,0.081,0.149,0.005
street,place,4.5,-0.1,0.241,0.362,0.309
stroke,hospital,3.625,-0.275,,0.478,0.14
student,professor,4.9375,-0.012,0.529,0.502,0.402
sugar,approach,0.9375,-0.812,0.09,0.331,-0.016
summer,drought,3.3125,-0.338,,0.476,0.278
summer,nature,4.0,-0.2,-0.169,0.223,0.062
telephone,communication,6.6875,0.337,0.104,0.236,0.248
television,film,5.75,0.15,0.105,0.412,0.331
television,radio,4.625,-0.075,0.099,0.466,0.285
tennis,racket,5.0,0.0,,-0.031,0.087
territory,kilometer,2.1875,-0.562,,0.5,0.219
territory,surface,3.594,-0.281,-0.025,0.65,0.318
theater,history,1.9375,-0.613,0.194,0.534,0.344
tiger,animal,6.9375,0.387,,0.61,0.01
tiger,carnivore,6.0,0.2,,,
tiger,cat,6.75,0.35,,0.622,0.188
tiger,fauna,3.4375,-0.312,,,
tiger,feline,5.0625,0.012,,,
tiger,jaguar,5.75,0.15,,0.702,0.187
tiger,mammal,6.25,0.25,,,
tiger,organism,3.0625,-0.387,,0.744,0.252
tiger,tiger,10.0,1.0,,1.0,1.0
tiger,zoo,4.9375,-0.012,,0.671,0.258
tool,implement,5.3125,0.062,,,
train,car,3.5,-0.3,0.246,0.742,0.418
travel,activity,4.1875,-0.162,0.262,0.401,0.111
treatment,recovery,5.3125,0.062,0.124,0.727,0.193
type,kind,8.4375,0.688,0.671,0.564,0.353
victim,emergency,2.6875,-0.463,0.088,0.445,0.151
video,archive,3.4375,-0.312,,,
viewer,serial,2.5625,-0.488,,,
vodka,brandy,6.25,0.25,,,
vodka,gin,6.0625,0.212,,,
volunteer,motto,1.3815,-0.724,,,
war,troops,6.375,0.275,0.092,0.185,0.263
water,seepage,3.875,-0.225,,,
weapon,secret,2.5,-0.5,0.314,0.674,0.101
weather,forecast,5.4375,0.087,,0.316,0.119
Wednesday,news,1.125,-0.775,0.204,0.32,0.197
wood,forest,7.9375,0.587,0.306,0.57,0.251
word,similarity,0.8125,-0.838,,0.502,0.244
